
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

1        2.521       1.05          0          0         0         0
2        2.521       1.05          0          0         0         0
3        2.495      1.039          0          0         0         0
4        2.495      1.039          0          0         0         0
5        2.494      1.038          0          0         0         0
6        2.493      1.038          0          0         0         0
7        2.493      1.038          0          0         0         0
8        2.492      1.038          0          0         0         0
9        2.477      1.031          0          0         0         0
10       2.465      1.026          0          0         0         0
11       2.463      1.026          0          0         0         0
12       2.463      1.026          0          0         0         0
13       2.463      1.025          0          0         0         0
14       2.464      1.026          0          0         0         0
15       2.447      1.019          0          0         0         0
16       2.463      1.026          0          0         0         0
17       2.446      1.018          0          0         0         0
18       2.445      1.018          0          0         0         0
19       2.446      1.018          0          0         0         0
20        2.43      1.012          0          0         0         0
21       2.429      1.011          0          0         0         0
22       2.428      1.011          0          0         0         0
23       2.429      1.011          0          0         0         0
24       2.427      1.011          0          0         0         0
25       2.428      1.011          0          0         0         0
26       2.426       1.01          0          0         0         0
27       2.427       1.01          0          0         0         0
28       2.426       1.01          0          0         0         0
29       2.426       1.01          0          0         0         0
30       2.426       1.01          0          0         0         0
31       2.426       1.01          0          0         0         0
32       2.426       1.01          0          0         0         0
33       2.426       1.01          0          0         0         0
34       2.425       1.01          0          0         0         0
35       2.425       1.01          0          0         0         0
36       2.446      1.019          0          0         0         0
119      2.426       1.01          0          0         0         0
126      2.463      1.026          0          0         0         0
127      2.427       1.01          0          0         0         0
117      2.447      1.019          0          0         0         0
54       2.433      1.013          0          0         0         0
55       2.425       1.01          0          0         0         0
56       2.421      1.008          0          0         0         0
57       2.421      1.008          0          0         0         0
58       2.421      1.008          0          0         0         0
59       2.409      1.003          0          0         0         0
60       2.409      1.003          0          0         0         0
61       2.408      1.003          0          0         0         0
62       2.384     0.9928          0          0         0         0
63       2.384     0.9928          0          0         0         0
64       2.381     0.9914          0          0         0         0
65       2.379     0.9905          0          0         0         0
66       2.375      0.989          0          0         0         0
67       2.372     0.9876          0          0         0         0
68       2.371     0.9873          0          0         0         0
122      2.384     0.9928          0          0         0         0
118       2.43      1.012          0          0         0         0
37       2.425       1.01          0          0         0         0
38       2.424      1.009          0          0         0         0
39       2.423      1.009          0          0         0         0
40       2.423      1.009          0          0         0         0
41       2.423      1.009          0          0         0         0
42       2.422      1.008          0          0         0         0
43       2.421      1.008          0          0         0         0
44       2.419      1.007          0          0         0         0
45       2.417      1.007          0          0         0         0
46       2.416      1.006          0          0         0         0
47       2.416      1.006          0          0         0         0
48       2.416      1.006          0          0         0         0
49       2.414      1.005          0          0         0         0
50       2.413      1.005          0          0         0         0
51       2.413      1.005          0          0         0         0
52       2.412      1.004          0          0         0         0
53       2.412      1.004          0          0         0         0
120      2.412      1.004          0          0         0         0
125      2.384     0.9928          0          0         0         0
128      2.384     0.9928          0          0         0         0
69       2.375      0.989          0          0         0         0
70       2.374     0.9885          0          0         0         0
71       2.373     0.9878          0          0         0         0
72       2.371     0.9874          0          0         0         0
73       2.371     0.9871          0          0         0         0
74       2.371     0.9872          0          0         0         0
75       2.369     0.9864          0          0         0         0
76       2.368     0.9858          0          0         0         0
77       2.367     0.9854          0          0         0         0
78       2.368      0.986          0          0         0         0
79       2.367     0.9853          0          0         0         0
80       2.366     0.9852          0          0         0         0
81       2.366     0.9851          0          0         0         0
82       2.365     0.9846          0          0         0         0
83       2.365     0.9845          0          0         0         0
84       2.364     0.9844          0          0         0         0
85       2.364     0.9843          0          0         0         0
86       2.362     0.9835          0          0         0         0
87       2.361     0.9831          0          0         0         0
88       2.365     0.9847          0          0         0         0
89       2.363     0.9839          0          0         0         0
90       2.363     0.9838          0          0         0         0
91       2.362     0.9836          0          0         0         0
92       2.362     0.9834          0          0         0         0
93       2.362     0.9834          0          0         0         0
94       2.361     0.9831          0          0         0         0
95       2.362     0.9833          0          0         0         0
96       2.361      0.983          0          0         0         0
97       2.361     0.9832          0          0         0         0
98       2.361     0.9831          0          0         0         0
99       2.374     0.9882          0          0         0         0
100      2.373      0.988          0          0         0         0
101      2.372     0.9877          0          0         0         0
102      2.372     0.9876          0          0         0         0
103      2.372     0.9877          0          0         0         0
104      2.371     0.9871          0          0         0         0
105      2.369     0.9865          0          0         0         0
106      2.368     0.9859          0          0         0         0
107      2.371     0.9872          0          0         0         0
108       2.37     0.9868          0          0         0         0
109      2.369     0.9863          0          0         0         0
110       2.37     0.9869          0          0         0         0
111      2.367     0.9854          0          0         0         0
112      2.365     0.9847          0          0         0         0
113      2.364     0.9844          0          0         0         0
114      2.365     0.9845          0          0         0         0
115      2.363     0.9837          0          0         0         0
116      2.362     0.9836          0          0         0         0
124      2.374     0.9882          0          0         0         0
123      2.372     0.9876          0          0         0         0
121       2.37     0.9869          0          0         0         0
